restaurant,item,price
Gimbap Chonguk,Paradise Gimbab,2000
Gimbap Chonguk,Kimchi Gimbab,2500
Gimbap Chonguk,Cheese Gimbap,2500
Gimbap Chonguk,Tuna Gimbap,3000
Gimbap Chonguk,Chily Gimbap,3000
Gimbap Chonguk,Beef Gimbap,3000
Gimbap Chonguk,Deep Fried pork Gimbap,3000
Gimbap Chonguk,Pork Gimbap,3000
Gimbap Chonguk,Shrimp Gimbap,3500
Gimbap Chonguk,Ramen,2500
Gimbap Chonguk,Egg Ramen,3000
Gimbap Chonguk,Kimchi Ramen,3000
Gimbap Chonguk,Rice cake Ramen,3500
Gimbap Chonguk,Cheese Ramen,3500
Gimbap Chonguk,Pork dumpling Ramen,3500
Gimbap Chonguk,Hangover Ramen,4000
Gimbap Chonguk,Spicy seafood Ramen,4000
Gimbap Chonguk,Rice cake with spicy red sauce,3000
Gimbap Chonguk,Rice cake Ramen spicy sauce,3500
Gimbap Chonguk,Spicy stir-fried Rice cake,3500
Gimbap Chonguk,Cheese Rice cake Ramen spicy sauce ,4000
Gimbap Chonguk,Cheese spicy stir-fried Rice cake,4000
Gimbap Chonguk,Boiled fish paste soup,2500
Gimbap Chonguk,Japanese thick noodle soup ,3500
Gimbap Chonguk,Japanese thick noodle seafood,4500
Gimbap Chonguk,Mixed noodles with spicy red,4500
Gimbap Chonguk,Dough noodles with vegetables,4500
Gimbap Chonguk,Chopped noodles,4500
Gimbap Chonguk,Rice cake soup,4000
Gimbap Chonguk,Pork dumpling soup,4500
Gimbap Chonguk,Rice cake and pork dumpling soup,4500
Gimbap Chonguk,Sticky noodle,4000
Gimbap Chonguk,Cold noodies in ice water,4000
Gimbap Chonguk,Spicy buckwheat noodle,4000
Gimbap Chonguk,Pork dumpling,3500
Gimbap Chonguk,Kimchi dumpling,3500
Gimbap Chonguk,Boiled dumpling,3500
Gimbap Chonguk,Fried dumpling,3500
Gimbap Chonguk,Mussel porridge,6500
Gimbap Chonguk,Beef and vegetable porridge,6000
Gimbap Chonguk,Pumpkin porridge,6000
Gimbap Chonguk,Pork with Rice (spicy),5000
Gimbap Chonguk,Marinnated Beef Rice,5500
Gimbap Chonguk,Squid with Rice (spicy),5500
Gimbap Chonguk,Stir-fried Rice with veges wrapped with egg,5500
Gimbap Chonguk,"Mixture of rice, veges, small pieces of beef in metal bowl",4500
Gimbap Chonguk,Kimchi with rice pork,4500
Gimbap Chonguk,Shrimp fried rice,5500
Gimbap Chonguk,Seafood fried rice,5500
Gimbap Chonguk,Caviar rice in sizzling hot pot,5000
Gimbap Chonguk,Hot pot Rice,5500
Gimbap Chonguk,Kimchi soup,5000
Gimbap Chonguk,Tuna Kimchi soup,5000
Gimbap Chonguk,Soybeen pastesoup,4500
Gimbap Chonguk,Soft tofu soup (spicy),4500
Gimbap Chonguk,Hot pot Bulgogi,6000
Gimbap Chonguk,Kimchi soup with Blue Cod fish (spicy),6000
Gimbap Chonguk,Sausages stew,6000
Gimbap Chonguk,Mixed soup with vegesand beef (spicy),6000
Gimbap Chonguk,Bone-beef soup with noodles,6000
Gimbap Chonguk,Beef soup with noodles ,6000
Gimbap Chonguk,Seafood soup with fish eggs (spicy),6000
Gimbap Chonguk,Rice topped with chicken,5500
Gimbap Chonguk,Bowl of Rice,1000
Gimbap Chonguk,Fried egg,500
Gimbap Chonguk,Large sized deep-fried pork,5500
Gimbap Chonguk,Cheese deep-fried pork,6000
Gimbap Chonguk,Sweet potato deep-fried pork,6000
BHC Chicken,Bburinkle Chicken,18000
BHC Chicken,Boneless Bburinkle Chicken,20000
BHC Chicken,Gold-King Chicken,17000
BHC Chicken,Boneless Gold-King Chicken,20000
BHC Chicken,Matcho-King Chicken,18000
BHC Chicken,Boneless Matcho-King Chicken,20000
BHC Chicken,Red-King Chicken,19000
BHC Chicken,Boneless Red-King Chicken,20000
BHC Chicken,Sunflower Fried Chicken,17000
